,Positive,state
0,0.22808320950965824,Utah
1,0.2446601941747573,Hawaii
2,0.24180127263827705,Minnesota
3,0.26532515991471217,Ohio
4,0.30814814814814817,Arkansas
5,0.24013840830449826,Oregon
6,0.2669253988788271,Texas
7,0.27741935483870966,North Dakota
8,0.26625868685820975,Pennsylvania
9,0.25785482123510295,Connecticut
10,0.270878721859114,Nebraska
11,0.22120866590649943,Vermont
12,0.2595291479820628,Nevada
13,0.2526299011794708,Washington
14,0.2556630341618709,Illinois
15,0.24483306836248012,Oklahoma
16,0.3055555555555556,Delaware
17,0.24882629107981222,Alaska
18,0.24874791318864775,New Mexico
19,0.27177700348432055,West Virginia
20,0.24664955802680352,Missouri
21,0.2806818181818182,Rhode Island
22,0.2511316669946861,Georgia
23,0.28350515463917525,Montana
24,0.2504041383769803,Michigan
25,0.2525573192239859,Virginia
26,0.2512741312741313,North Carolina
27,0.2874251497005988,Wyoming
28,0.24214517876489708,Kansas
29,0.27412655753725873,New Jersey
30,0.24915650142745913,Maryland
31,0.2451467268623025,Alabama
32,0.25636456211812625,Arizona
33,0.24310064935064934,Iowa
34,0.2567143830947512,Massachusetts
35,0.2764495740588074,Kentucky
36,0.25422535211267605,Louisiana
37,0.24971363115693013,Mississippi
38,0.22845417236662108,New Hampshire
39,0.24268415741675076,Tennessee
40,0.2650231124807396,Florida
41,0.23945533045499834,Indiana
42,0.23709369024856597,Idaho
43,0.24086021505376345,South Carolina
44,0.25357142857142856,South Dakota
45,0.2590901208162322,California
46,0.25560058538781943,New York
47,0.23414503612523416,Wisconsin
48,0.25104903488790314,Colorado
49,0.26461538461538464,Maine
