,Negative,state
0,0.9115898959881129,Utah
1,0.912621359223301,Hawaii
2,0.8872573013542177,Minnesota
3,0.8905916844349681,Ohio
4,0.917037037037037,Arkansas
5,0.9079584775086506,Oregon
6,0.8949439413540319,Texas
7,0.8903225806451613,North Dakota
8,0.8899491753967431,Pennsylvania
9,0.894907908992416,Connecticut
10,0.90559186637618,Nebraska
11,0.8996579247434435,Vermont
12,0.8946188340807175,Nevada
13,0.8995855913292955,Washington
14,0.9016774825517326,Illinois
15,0.8966613672496025,Oklahoma
16,0.8833333333333333,Delaware
17,0.8998435054773083,Alaska
18,0.9165275459098498,New Mexico
19,0.8658536585365854,West Virginia
20,0.9144568006843456,Missouri
21,0.9,Rhode Island
22,0.8787640228301515,Georgia
23,0.8981958762886598,Montana
24,0.8965405754930488,Michigan
25,0.8982363315696649,Virginia
26,0.8911196911196911,North Carolina
27,0.8353293413173652,Wyoming
28,0.8911159263271939,Kansas
29,0.8997068165160029,New Jersey
30,0.9026732416298988,Maryland
31,0.9088036117381489,Alabama
32,0.8956211812627292,Arizona
33,0.8952922077922078,Iowa
34,0.8997955010224948,Massachusetts
35,0.8980489145369607,Kentucky
36,0.9007042253521127,Louisiana
37,0.9129438717067583,Mississippi
38,0.8850889192886456,New Hampshire
39,0.9106962663975782,Tennessee
40,0.8951133612150561,Florida
41,0.9123214878777814,Indiana
42,0.9139579349904398,Idaho
43,0.9059139784946236,South Carolina
44,0.8892857142857142,South Dakota
45,0.8969882652176426,California
46,0.9052684903748733,New York
47,0.9122290607439122,Wisconsin
48,0.903848459417336,Colorado
49,0.9046153846153846,Maine
