,Positive,date
0,0.30406852248394006,2016-10-31
1,0.2684464998948917,2016-11-01
2,0.27449748743718594,2016-11-02
3,0.2805049088359046,2016-11-03
4,0.28079242032730406,2016-11-04
5,0.2916279069767442,2016-11-05
6,0.27871529667936856,2016-11-06
7,0.2879581151832461,2016-11-07
8,0.3129971539079034,2016-11-08
9,0.307475317348378,2016-11-09
10,0.30651105651105653,2016-11-10
11,0.2938104233803756,2016-11-11
12,0.29591088963798917,2016-11-12
13,0.30958092281642446,2016-11-13
14,0.2868829728230727,2016-11-14
15,0.29549705078405986,2016-11-15
16,0.2829405661775604,2016-11-16
17,0.3069822087948976,2016-11-17
18,0.29873598006053054,2016-11-18
19,0.29738639039321874,2016-11-19
20,0.2935798878038645,2016-11-20
21,0.3038487508440243,2016-11-21
22,0.30198019801980197,2016-11-22
23,0.28556282028626967,2016-11-23
24,0.30037546933667086,2016-11-24
25,0.30951810117477824,2016-11-25
26,0.2899497487437186,2016-11-26
27,0.3087297694948504,2016-11-27
28,0.3154786150712831,2016-11-28
29,0.2906284864261807,2016-11-29
30,0.2840909090909091,2016-11-30
31,0.31379602200592466,2016-12-01
32,0.30502952555487683,2016-12-02
33,0.3005167255915148,2016-12-03
34,0.2989921612541993,2016-12-04
35,0.30277777777777776,2016-12-05
36,0.31017231795441913,2016-12-06
37,0.31047891936144084,2016-12-07
38,0.30430013163668274,2016-12-08
39,0.3091494601250237,2016-12-09
40,0.30753186558516804,2016-12-10
41,0.30658479779800973,2016-12-11
42,0.3064061950017599,2016-12-12
43,0.2960403436682854,2016-12-13
44,0.3013137689814025,2016-12-14
45,0.30446194225721784,2016-12-15
46,0.314291361929235,2016-12-16
47,0.2974083438685209,2016-12-17
48,0.3066704352741662,2016-12-18
49,0.3155724183437809,2016-12-19
50,0.2980320551836072,2016-12-20
51,0.2953479280688038,2016-12-21
52,0.28891050583657585,2016-12-22
53,0.2942381562099872,2016-12-23
54,0.2895805142083897,2016-12-24
55,0.2952830188679245,2016-12-25
56,0.2702169625246548,2016-12-26
57,0.3034995354598947,2016-12-27
58,0.2917933130699088,2016-12-28
59,0.2967723507569266,2016-12-29
60,0.3083634175691937,2016-12-30
61,0.31990967256304104,2016-12-31
62,0.2816157040392601,2017-01-01
63,0.2952507472600465,2017-01-02
64,0.30440887391182253,2017-01-03
65,0.2803030303030303,2017-01-04
66,0.2858831875147789,2017-01-05
67,0.2857460035523979,2017-01-06
68,0.29574991218826835,2017-01-07
69,0.3030199039121482,2017-01-08
70,0.28499156829679595,2017-01-09
71,0.3093499554764025,2017-01-10
72,0.30760324199150907,2017-01-11
73,0.29992942836979536,2017-01-12
74,0.2940483205657042,2017-01-13
75,0.30359897172236505,2017-01-14
76,0.2886782786885246,2017-01-15
77,0.29410494493629885,2017-01-16
78,0.3026208026208026,2017-01-17
79,0.2877650176678445,2017-01-18
80,0.29037487335359674,2017-01-19
81,0.31450341565948503,2017-01-20
82,0.2976033213813927,2017-01-21
83,0.2970582184735651,2017-01-22
84,0.2955390334572491,2017-01-23
85,0.2950268817204301,2017-01-24
86,0.29657735790614836,2017-01-25
87,0.30021698698078114,2017-01-26
88,0.2969400688031867,2017-01-27
89,0.31614314736677607,2017-01-28
90,0.30400832899531494,2017-01-29
91,0.30818720827551405,2017-01-30
92,0.2983045893013739,2017-01-31
93,0.30009761539534235,2017-02-01
94,0.2985019646365422,2017-02-02
95,0.291858407079646,2017-02-03
96,0.30597797587834297,2017-02-04
97,0.30583289542827113,2017-02-05
98,0.3057452792286059,2017-02-06
99,0.2741157556270096,2017-02-07
100,0.27087097940007226,2017-02-08
101,0.28241106719367587,2017-02-09
102,0.2903795233892321,2017-02-10
103,0.3040969417195615,2017-02-11
104,0.3027845363611787,2017-02-12
105,0.27864432890429425,2017-02-13
106,0.26745762711864407,2017-02-14
107,0.28946015424164523,2017-02-15
108,0.30078563411896747,2017-02-16
109,0.2995655951346655,2017-02-17
110,0.3116723884256989,2017-02-18
111,0.30986261040235524,2017-02-19
112,0.29686360320933625,2017-02-20
113,0.29700808036689236,2017-02-21
114,0.26716653512233624,2017-02-22
115,0.2762108539194709,2017-02-23
116,0.3062460831418425,2017-02-24
117,0.28953953953953954,2017-02-25
118,0.2944477259303012,2017-02-26
119,0.2831818181818182,2017-02-27
120,0.30193148688046645,2017-02-28
121,0.3107653490328007,2017-03-01
122,0.260569275847635,2017-03-02
123,0.2812006319115324,2017-03-03
124,0.2944193061840121,2017-03-04
125,0.3071173220669483,2017-03-05
126,0.29098966026587886,2017-03-06
127,0.28027754415475187,2017-03-07
128,0.27670028445823636,2017-03-08
129,0.27701477066597563,2017-03-09
130,0.28503937007874014,2017-03-10
131,0.28213552361396305,2017-03-11
132,0.2861749294639258,2017-03-12
133,0.2815875408188897,2017-03-13
134,0.2857445008460237,2017-03-14
135,0.277009507346586,2017-03-15
136,0.27975653742110007,2017-03-16
137,0.29790310918293567,2017-03-17
138,0.2881815103284795,2017-03-18
139,0.2982982982982983,2017-03-19
140,0.2777332799359231,2017-03-20
141,0.2922930088284419,2017-03-21
142,0.28625,2017-03-22
143,0.2797270955165692,2017-03-23
144,0.24373615135503665,2017-03-24
145,0.2595281306715064,2017-03-25
146,0.29619047619047617,2017-03-26
147,0.27581832022329356,2017-03-27
148,0.2573492775286497,2017-03-28
149,0.2770475227502528,2017-03-29
150,0.286178274990978,2017-03-30
151,0.2732049036777583,2017-03-31
152,0.2869276218611521,2017-04-01
153,0.2883184523809524,2017-04-02
154,0.2661443494776828,2017-04-03
155,0.28777472527472525,2017-04-04
156,0.27477064220183484,2017-04-05
157,0.26635001826817684,2017-04-06
158,0.28187919463087246,2017-04-07
159,0.3023666548922642,2017-04-08
160,0.3151085141903172,2017-04-09
161,0.3234816498863267,2017-04-10
162,0.29386265115217886,2017-04-11
163,0.34244031830238725,2017-04-12
164,0.33499413833528724,2017-04-13
165,0.3434065934065934,2017-04-14
166,0.3219932918064207,2017-04-15
167,0.3201333889120467,2017-04-16
168,0.3252808988764045,2017-04-17
169,0.3033004095398699,2017-04-18
170,0.31194690265486724,2017-04-19
171,0.30823211875843454,2017-04-20
172,0.31347387717690195,2017-04-21
173,0.3056696795398521,2017-04-22
174,0.31802656546489566,2017-04-23
175,0.3236894872529361,2017-04-24
176,0.3248149032720325,2017-04-25
177,0.3205433746425167,2017-04-26
178,0.3132596685082873,2017-04-27
179,0.325401376146789,2017-04-28
180,0.32519280205655526,2017-04-29
181,0.3212414349052801,2017-04-30
182,0.3192097738497531,2017-05-01
183,0.2968400099527246,2017-05-02
184,0.30111801242236025,2017-05-03
185,0.2783201326211089,2017-05-04
186,0.3232848232848233,2017-05-05
187,0.31008369868473495,2017-05-06
