,Negative,date
266,4371,2017-07-24
267,5647,2017-07-25
268,5934,2017-07-26
269,6408,2017-07-27
270,5673,2017-07-28
271,3069,2017-07-29
272,3223,2017-07-30
273,4319,2017-07-31
274,4121,2017-08-01
275,4347,2017-08-02
276,5252,2017-08-03
277,4143,2017-08-04
278,2634,2017-08-05
279,2486,2017-08-06
280,3548,2017-08-07
281,4119,2017-08-08
282,3937,2017-08-09
283,4518,2017-08-10
284,3550,2017-08-11
285,3674,2017-08-12
286,3921,2017-08-13
287,4792,2017-08-14
288,7014,2017-08-15
289,6587,2017-08-16
290,6258,2017-08-17
291,5235,2017-08-18
292,2987,2017-08-19
293,2460,2017-08-20
294,3348,2017-08-21
295,4244,2017-08-22
296,4069,2017-08-23
297,3807,2017-08-24
298,4244,2017-08-25
299,3066,2017-08-26
300,2692,2017-08-27
301,3592,2017-08-28
302,3230,2017-08-29
303,3611,2017-08-30
304,3658,2017-08-31
305,3142,2017-09-01
306,1814,2017-09-02
307,2404,2017-09-03
308,2710,2017-09-04
309,4274,2017-09-05
310,4104,2017-09-06
311,3208,2017-09-07
312,2832,2017-09-08
313,1660,2017-09-09
314,2259,2017-09-10
315,2763,2017-09-11
316,3337,2017-09-12
317,3726,2017-09-13
318,5584,2017-09-14
319,4545,2017-09-15
320,2103,2017-09-16
321,2528,2017-09-17
322,3260,2017-09-18
323,3645,2017-09-19
324,3619,2017-09-20
325,4092,2017-09-21
326,3651,2017-09-22
327,2986,2017-09-23
328,3091,2017-09-24
329,4240,2017-09-25
330,4676,2017-09-26
331,4292,2017-09-27
332,3637,2017-09-28
333,3828,2017-09-29
334,2642,2017-09-30
335,2472,2017-10-01
336,5189,2017-10-02
337,4342,2017-10-03
338,3840,2017-10-04
339,3973,2017-10-05
340,3492,2017-10-06
341,2632,2017-10-07
342,2575,2017-10-08
343,3186,2017-10-09
344,4268,2017-10-10
345,4528,2017-10-11
346,4396,2017-10-12
347,3593,2017-10-13
348,2236,2017-10-14
349,2777,2017-10-15
350,3569,2017-10-16
351,3980,2017-10-17
352,3744,2017-10-18
353,4241,2017-10-19
354,4098,2017-10-20
355,2511,2017-10-21
356,2415,2017-10-22
357,3448,2017-10-23
358,4266,2017-10-24
359,4242,2017-10-25
360,3765,2017-10-26
361,4003,2017-10-27
362,2691,2017-10-28
363,2921,2017-10-29
364,6223,2017-10-30
365,5008,2017-10-31
366,4872,2017-11-01
367,5597,2017-11-02
368,5396,2017-11-03
369,3385,2017-11-04
