,Negative,date
0,0.8693790149892934,2016-10-31
1,0.8694555392053815,2016-11-01
2,0.8740577889447236,2016-11-02
3,0.8583450210378681,2016-11-03
4,0.8649440137812231,2016-11-04
5,0.8627906976744186,2016-11-05
6,0.8717111232081292,2016-11-06
7,0.8584847551586079,2016-11-07
8,0.8601766036634314,2016-11-08
9,0.8367027111737972,2016-11-09
10,0.8329238329238329,2016-11-10
11,0.8479831092343594,2016-11-11
12,0.8474278176755093,2016-11-12
13,0.8588965711866798,2016-11-13
14,0.8682750970604548,2016-11-14
15,0.8610271903323263,2016-11-15
16,0.8602341781532533,2016-11-16
17,0.8705941591137966,2016-11-17
18,0.8768025636460745,2016-11-18
19,0.8782670120084766,2016-11-19
20,0.8711822148348224,2016-11-20
21,0.8612424037812288,2016-11-21
22,0.8698203153648698,2016-11-22
23,0.8535076868704718,2016-11-23
24,0.8648310387984981,2016-11-24
25,0.8539918484775834,2016-11-25
26,0.8585427135678392,2016-11-26
27,0.8634134379597842,2016-11-27
28,0.8674134419551934,2016-11-28
29,0.8737448865749349,2016-11-29
30,0.8545839753466872,2016-11-30
31,0.8683876428269149,2016-12-01
32,0.8599063327224598,2016-12-02
33,0.8844166440032635,2016-12-03
34,0.8681410974244121,2016-12-04
35,0.8660256410256411,2016-12-05
36,0.8684454326477673,2016-12-06
37,0.8600081866557511,2016-12-07
38,0.8696796840719614,2016-12-08
39,0.8736503125591968,2016-12-09
40,0.8658169177288528,2016-12-10
41,0.8708448020326064,2016-12-11
42,0.8727560718057022,2016-12-12
43,0.8757937990287635,2016-12-13
44,0.8614570892339192,2016-12-14
45,0.8691413573303337,2016-12-15
46,0.8703301047637874,2016-12-16
47,0.8631479140328698,2016-12-17
48,0.8600904465799887,2016-12-18
49,0.8378422962718575,2016-12-19
50,0.8557516737674985,2016-12-20
51,0.8582877247849883,2016-12-21
52,0.8557879377431906,2016-12-22
53,0.8786171574903969,2016-12-23
54,0.871786197564276,2016-12-24
55,0.8584905660377359,2016-12-25
56,0.8646942800788955,2016-12-26
57,0.8575410343759677,2016-12-27
58,0.8601823708206687,2016-12-28
59,0.8646101113967438,2016-12-29
60,0.8577015643802648,2016-12-30
61,0.8682724877681596,2016-12-31
62,0.8595696489241224,2017-01-01
63,0.8611756891398207,2017-01-02
64,0.8719460825610783,2017-01-03
65,0.8269412878787878,2017-01-04
66,0.8557578623788129,2017-01-05
67,0.8696714031971581,2017-01-06
68,0.8724973656480506,2017-01-07
69,0.8606726149622512,2017-01-08
70,0.8913514815707059,2017-01-09
71,0.8993766696349065,2017-01-10
72,0.9090441271066513,2017-01-11
73,0.8944954128440367,2017-01-12
74,0.8919662148890198,2017-01-13
75,0.9038560411311054,2017-01-14
76,0.8757684426229508,2017-01-15
77,0.9030446987691644,2017-01-16
78,0.8781736281736282,2017-01-17
79,0.8811837455830389,2017-01-18
80,0.8822695035460993,2017-01-19
81,0.8832107199159223,2017-01-20
82,0.8996036988110965,2017-01-21
83,0.8880888706027567,2017-01-22
84,0.8832375802636026,2017-01-23
85,0.8919690860215054,2017-01-24
86,0.8824531516183987,2017-01-25
87,0.8941413515189088,2017-01-26
88,0.879775484338222,2017-01-27
89,0.8790436005625879,2017-01-28
90,0.8851292729481173,2017-01-29
91,0.8870947394979185,2017-01-30
92,0.8804443145279158,2017-01-31
93,0.8620833914377353,2017-02-01
94,0.8730353634577603,2017-02-02
95,0.8807079646017699,2017-02-03
96,0.8751966439433665,2017-02-04
97,0.8862322648449816,2017-02-05
98,0.896544797107272,2017-02-06
99,0.8729903536977492,2017-02-07
100,0.8834477773762197,2017-02-08
101,0.8802371541501977,2017-02-09
102,0.881729920564872,2017-02-10
103,0.8730525100980958,2017-02-11
104,0.8723979453906461,2017-02-12
105,0.8910071249759292,2017-02-13
106,0.8884745762711864,2017-02-14
107,0.8939160239931448,2017-02-15
108,0.8959435626102292,2017-02-16
109,0.8882710686359687,2017-02-17
110,0.8935752820009809,2017-02-18
111,0.8790480863591756,2017-02-19
112,0.8854850474106492,2017-02-20
113,0.871806071194584,2017-02-21
114,0.8812154696132597,2017-02-22
115,0.8665629255008753,2017-02-23
116,0.8757050344683518,2017-02-24
117,0.8433433433433434,2017-02-25
118,0.8670998227997637,2017-02-26
119,0.8825,2017-02-27
120,0.8848396501457726,2017-02-28
121,0.8915054667788057,2017-03-01
122,0.9112599413980745,2017-03-02
123,0.894681411269089,2017-03-03
124,0.9122171945701357,2017-03-04
125,0.896977575560611,2017-03-05
126,0.8839417598649504,2017-03-06
127,0.8910849453322119,2017-03-07
128,0.8867339022498061,2017-03-08
129,0.8818346721948691,2017-03-09
130,0.8992125984251969,2017-03-10
131,0.8624229979466119,2017-03-11
132,0.8714228133817009,2017-03-12
133,0.8882190404421,2017-03-13
134,0.891497461928934,2017-03-14
135,0.8971477960242005,2017-03-15
136,0.8845807033363391,2017-03-16
137,0.8896119546878766,2017-03-17
138,0.8709786657636303,2017-03-18
139,0.8695362028695363,2017-03-19
140,0.8912695234281137,2017-03-20
141,0.8775948460987831,2017-03-21
142,0.9027083333333333,2017-03-22
143,0.8791423001949318,2017-03-23
144,0.8719959093233339,2017-03-24
145,0.8859649122807017,2017-03-25
146,0.8850793650793651,2017-03-26
147,0.8865770109109363,2017-03-27
148,0.8871449925261584,2017-03-28
149,0.8748736097067745,2017-03-29
150,0.8949837603753158,2017-03-30
151,0.8941706279709782,2017-03-31
152,0.8729689807976366,2017-04-01
153,0.8761160714285714,2017-04-02
154,0.8755935422602089,2017-04-03
